OTUs,Domain,Phylum,Class,Order,Family,Genus
C275,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium_IV
C276,Bacteria,unclassified_Bacteria,,,,
C277,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C278,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C279,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,unclassified_Clostridiales_Incertae_Sedis_XI
C280,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium
C281,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
C282,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter
C283,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C284,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium_IV
C285,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Proteiniclasticum
C286,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C287,Bacteria,unclassified_Bacteria,,,,
C288,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C289,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C290,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,unclassified_Flavobacteriaceae
C291,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiracea_incertae_sedis
C292,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C293,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C294,Bacteria,unclassified_Bacteria,,,,
C295,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C296,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium
C297,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C298,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C299,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C300,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Petrimonas
C301,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium_XI
